"","from","to"
"1","Kao2014","Du2012"
"2","Kao2014","Renshaw1997"
"3","Kao2014","Weidner1991"
"4","Kao2014","Greco1984"
"5","Kao2014","Evans1977"
"6","Du2012","Renshaw1997"
"7","Du2012","Nistal1996"
"8","Du2012","Weidner1991"
"9","Du2012","Greco1984"
"10","Du2012","Evans1977"
"11","Renshaw1997","Miettinen1986"
"12","Renshaw1997","Greco1984"
"13","Nistal1996","Weidner1991"
"14","Nistal1996","Allen1990"
"15","Nistal1996","Miettinen1986"
"16","Nistal1996","Greco1984"
"17","Nistal1996","Evans1977"
"18","Weidner1991","Miettinen1986"
"19","Weidner1991","Greco1984"
"20","Weidner1991","Evans1977"
"21","Allen1990","Greco1984"
"22","Miettinen1986","Greco1984"
"23","Miettinen1986","Evans1977"
"24","Greco1984","Evans1977"
